#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
104	0.1487416962	4
105	0.1030498499	14
155	0.0119787094	0
160	0.0278591238	0
162	0.3447852232	6
166	0.2237109571	190
270	0.0571982596	0
271	0.0641113979	0
902	0.0707539653	0
910	0.0577916903	3
1514	0.0962694307	0
1539	0.3063955442	29
1882	0.2035040346	144
3676	0.1741401366	156
3677	0.097422013	0
3700	0.0224651125	0
3723	0.2335205631	106
3735	0.214309516	86
3755	0.0270731602	0
3774	0.3138563043	21
3824	0.6864252004	4631
3861	0.1480252094	4
3899	0.0079605007	0
3916	0.173954553	10
3918	0.3564951439	12
3924	0.0954288941	4
3954	0.2915350339	21
3989	0.4733639877	6
4129	0.0455517733	6
4333	0.0164464847	0
4375	0.0006031129	0
4386	0.0553299359	0
4497	0.0075105481	0
4518	0.046425506	29
4519	0.0331213112	4
4527	0.024921566	8
4540	0.0173831558	0
4553	0.0912426328	27
4672	0.0164690233	0
4673	0.0119503292	0
4733	0.0016607056	0
4774	0.1466457347	3
4775	0.1466457347	3
4803	0.012149639	0
4812	0.2055570293	24
4820	0.0576104374	4
4854	0.1378964945	4
4871	0.0387888665	0
4872	0.0185352322	0
5198	0.1962321174	97
5215	0.1521615993	176
5310	0.0547776922	1
5315	0.4507104297	7
5351	0.1722660492	41
5381	0.0038221766	0
5402	0.1722660492	41
5488	0.4624724457	2341
5507	0.0825400848	9
5524	0.1760006443	84
5525	0.0416245624	3
5618	0.0315034002	5
5622	0.3140221939	585
5623	0.3463983535	950
5694	0.2225972558	23
5737	0.332056099	468
5829	0.0211985338	2
5840	0.1926384756	86
5886	0.1285306325	84
5975	0.1391857364	72
5976	0.0532250013	0
5984	0.0435014927	4
5991	0.0436386099	4
5992	0.4075209845	3
6007	0.0673514174	0
6022	0.0539403155	0
6023	0.1603774278	1
6024	0.1603774278	1
6073	0.0595924729	1
6081	0.2324482925	10
6082	0.2578741024	153
6084	0.0975571887	0
6089	0.149364625	4
6090	0.5267387244	12
6091	0.1173413731	13
6099	0.1756054886	8
6105	0.4226809418	0
6119	0.0970345687	0
6139	0.2518232214	545
6152	0.0613284632	0
6163	0.1249757675	36
6164	0.2300771781	46
6184	0.0838252358	4
6188	0.4363549143	13
6189	0.4668433083	13
6195	0.0574524428	0
6200	0.0402041411	0
6220	0.0953556465	0
6221	0.1108506312	0
6222	0.1868325964	0
6259	0.0960697658	42
6260	0.0930222511	11
6261	0.1061143814	18
6265	0.1739957253	10
6268	0.5465219437	10
6281	0.0923112068	15
6304	0.0066860514	0
6310	0.0391279748	0
6313	0.0242074431	0
6351	0.0504504754	0
6355	0.0488796895	0
6396	0.1319209492	0
6399	0.211494619	30
6400	0.0845992871	0
6412	0.2529536145	140
6414	0.0846930139	0
6417	0.0985408006	0
6418	0.4194240655	24
6426	0.0802358584	4
6448	0.1701692891	0
6450	0.1701692891	0
6451	0.0962694307	0
6461	0.1010178779	9
6520	0.2787613827	119
6525	0.2135720061	1
6526	0.3375064707	1
6527	0.2738924206	0
6536	0.2825668855	7
6537	0.1042406168	5
6544	0.0145653889	0
6546	0.0214411467	0
6547	0.1712752692	14
6548	0.3383233675	2
6551	0.1296844538	4
6560	0.1755681105	0
6561	0.2132526574	0
6568	0.3265472021	10
6569	0.0755889099	4
6575	0.0475104161	1
6576	0.1936707555	10
6586	0.3265472021	10
6629	0.095371522	35
6631	0.0541184225	1
6633	0.0629951894	1
6637	0.0826084129	0
6643	0.1456104099	1
6644	0.1735341778	23
6664	0.1754310042	1
6720	0.2663398927	16
6721	0.3149036616	14
6725	0.2978986192	755
6732	0.1412235819	36
6753	0.1565102402	67
6754	0.2477763301	25
6766	0.2871005557	49
6767	0.2871005557	49
6771	0.194247307	5
6772	0.1101548851	6
6777	0.1385498755	10
6778	0.1257217201	2
6779	0.1430456859	2
6782	0.0556973524	0
6783	0.15373822	0
6790	0.0480547646	4
6793	0.2027400879	154
6796	0.1937632625	142
6807	0.3639880091	1079
6810	0.1849146898	286
6811	0.131713631	80
6812	0.1482976208	54
6813	0.0477293124	6
6814	0.1404931915	13
6817	0.3626181547	9
6818	0.1829875916	29
6820	0.0534070532	0
6835	0.0547776922	1
6873	0.0074214838	0
6875	0.0084003124	0
6879	0.0068241437	0
6928	0.295600407	29
6950	0.0759368699	15
6952	0.0683746738	7
6974	0.0883277847	15
6979	0.0210338755	0
7049	0.0965203458	12
7154	0.0474373597	2
7165	0.0430618548	2
8094	0.194739055	12
8104	0.0758997228	27
8115	0.170770601	7
8137	0.183183459	6
8152	0.6595014803	4631
8168	0.0417331373	2
8198	0.1625107227	1
8233	0.0418342859	2
