#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
104	0.3835074595	3
105	0.1214899066	14
160	0.0275876668	0
162	0.204303701	4
166	0.2644840262	195
270	0.0690851789	0
271	0.0484808503	2
902	0.1151811883	0
1514	0.0979059806	0
1539	0.1439993948	9
1882	0.2305512412	127
3676	0.1921225542	240
3677	0.0988183362	13
3700	0.0251388345	0
3723	0.2400608288	100
3735	0.2625171459	93
3755	0.0329559441	0
3774	0.1431100902	6
3824	0.7418194948	1768
3861	0.1521600549	4
3887	0.0128531574	0
3899	0.0104610321	0
3916	0.0856978607	0
3918	0.2721246644	1
3924	0.1051546783	1
3954	0.3576510316	22
3989	0.1573513254	5
4129	0.0719814536	6
4333	0.019808945	0
4371	0.0326390872	0
4375	0.0054300164	0
4386	0.06118	7
4553	0.0637579841	13
4774	0.1756776922	4
4775	0.1756776922	4
4803	0.0119704324	0
4812	0.2086724754	22
4820	0.0542287094	4
4871	0.0348700714	1
5198	0.196960957	91
5215	0.1343339822	94
5315	0.2377609522	4
5342	0.0191142474	0
5381	0.0303001079	0
5488	0.5231665287	1734
5507	0.0389124456	3
5515	0.0222881896	1
5524	0.2001693806	66
5622	0.3316349783	483
5623	0.3545158908	686
5694	0.0543506077	1
5737	0.3478837406	415
5829	0.0688256375	3
5840	0.2414589766	95
5886	0.0933687281	52
5975	0.1373069154	46
5976	0.0456723494	1
5996	0.0958970784	3
6022	0.0641237956	0
6023	0.2395057576	0
6024	0.2395057576	0
6063	0.1526555887	4
6064	0.1526555887	4
6066	0.0072420084	0
6071	0.0074887299	0
6081	0.304413414	12
6082	0.2787833329	152
6090	0.5204615304	12
6091	0.0767080157	1
6119	0.1055459023	0
6139	0.28827974	447
6152	0.0570786004	0
6163	0.1345845039	40
6164	0.2171921742	39
6184	0.0964168334	1
6188	0.4567994605	16
6189	0.4889063924	16
6195	0.0562661905	0
6200	0.0424297432	0
6259	0.0986087603	41
6260	0.0737126212	12
6261	0.0497375472	1
6265	0.0856978607	0
6281	0.1058358017	13
6304	0.0272559166	1
6305	0.0279384763	0
6306	0.0279384763	0
6310	0.0334102701	1
6313	0.0098431413	0
6351	0.0471006249	2
6355	0.0448866675	2
6396	0.1119486696	1
6399	0.2169145574	28
6400	0.079445357	1
6412	0.2659743719	141
6414	0.0829366069	0
6417	0.114000305	0
6418	0.4224534435	22
6426	0.075167989	4
6448	0.1763337848	1
