#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
104	6.0E-4	0
105	0.0035	0
155	0.0084	0
160	0.0137	0
162	0.0021	0
166	0.1618	0
270	0.0167	0
271	0.0102	0
902	0.0056	0
910	0.0057	0
1514	3.0E-4	0
1539	0.0077	0
1882	0.1266	0
3676	0.1376	0
3677	0.0814	0
3700	0.0165	0
3723	0.0374	0
3735	0.0177	0
3755	0.0034	0
3774	0.004	0
3824	0.6467	3494
3861	6.0E-4	0
3899	0.0034	0
3916	0.0035	0
3918	0.0022	0
3924	0.0056	0
3954	0.0068	0
3989	9.0E-4	0
4129	0.0035	0
4333	7.0E-4	0
4375	6.0E-4	0
4386	0.0111	0
4497	0.0035	0
4518	0.034	0
4519	0.02	0
4527	0.0092	0
4540	0.0086	0
4553	0.0137	0
4672	0.0117	0
4673	0.0084	0
4733	0.001	0
4774	6.0E-4	0
4775	6.0E-4	0
4803	0.0036	0
4812	0.0094	0
4820	7.0E-4	0
4854	5.0E-4	0
4871	0.0168	0
4872	0.0101	0
5198	0.0215	0
5215	0.0829	0
5310	0.0017	0
5315	9.0E-4	0
5351	0.0046	0
5381	0.001	0
5402	0.0046	0
5488	0.4158	45
5507	0.0061	0
5524	0.1121	0
5525	0.0103	0
5618	0.0031	0
5622	0.1483	0
5623	0.2398	0
5694	0.0072	0
5737	0.1199	0
5829	0.0023	0
5840	0.0186	0
5886	0.075	0
5975	0.0604	0
5976	0.0139	0
5984	0.0011	0
5991	9.0E-4	0
5992	6.0E-4	0
6007	0.0054	0
6022	0.0118	0
6023	0.005	0
6024	0.005	0
6073	0.0029	0
6081	0.0032	0
6082	0.0824	0
6084	0.0016	0
6089	6.0E-4	0
6090	0.0023	0
6091	0.0222	0
6099	0.0045	0
6105	0.0033	0
6119	0.0082	0
6139	0.1975	0
6152	0.0295	0
6163	0.0445	0
6164	0.0126	0
6184	0.0056	0
6188	0.0036	0
6189	0.0035	0
6195	0.0303	0
6200	0.02	0
6220	0.0073	0
6221	0.0062	0
6222	0.003	0
6259	0.049	0
6260	0.0163	0
6261	0.0053	0
6265	0.003	0
6268	9.0E-4	0
6281	0.0206	0
6304	0.0041	0
6310	0.0117	0
6313	0.005	0
6351	0.0415	0
6355	0.0402	0
6396	0.0213	0
6399	0.0191	0
6400	0.0084	0
6412	0.0298	0
6414	0.0058	0
6417	0.0047	0
6418	0.0052	0
6426	6.0E-4	0
6448	0.0023	0
6450	0.0023	0
6451	3.0E-4	0
6461	0.0061	0
6520	0.0552	0
6525	0.0041	0
6526	0.0021	0
6527	0.0025	0
6536	0.0054	0
6537	0.0026	0
6544	0.0021	0
6546	0.0016	0
6547	0.0037	0
6548	6.0E-4	0
6551	7.0E-4	0
6560	8.0E-4	0
6561	6.0E-4	0
6568	0.0024	0
