#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
96	0.0180021331	2
97	0.0200736694	2
166	0.1177886467	3
255	0.00458587	0
270	0.0148489563	0
271	0.0225604561	4
1539	0.1529994065	10
1882	0.0988130369	3
3676	0.1164775421	0
3677	0.0829820476	0
3774	0.2144729781	9
3824	0.5836806042	1768
3916	0.086056095	3
3918	0.1847663625	1
4518	0.0435639647	6
4527	0.0210942802	6
4540	0.0173553656	0
4553	0.0621741583	8
4803	0.0103217238	0
5198	0.0149128797	3
5215	0.1023038005	65
5351	0.1805047093	12
5402	0.1805047093	12
5488	0.3497747682	106
5506	0.0307635902	2
5507	0.0372274535	1
5524	0.0902838673	2
5618	0.0262268469	3
5622	0.1247792802	67
5623	0.232772076	205
5694	0.1931524594	18
5737	0.0942047862	30
5886	0.1099173189	38
5975	0.0705581768	7
5976	0.0230577329	3
6022	0.0168843413	0
6026	0.0132549719	0
6027	0.0104513623	0
6073	0.0573983649	2
6082	0.0477769636	3
6084	0.0230428216	0
6091	0.0501105648	8
6105	0.5402601672	2
6139	0.1562527235	0
6164	0.0143931328	0
6261	0.0471862878	3
6265	0.0852368247	1
6268	0.5516722255	1
6313	0.0099824195	0
6351	0.0459390044	0
6355	0.0452203384	0
6396	0.02464369	4
6399	0.0239383761	4
6401	0.0073512633	0
6520	0.0385706961	5
6525	0.0703268417	0
6527	0.2536803233	2
6536	0.034262852	1
6555	0.0174171491	2
6568	0.1327891851	2
6569	0.1327891851	2
6576	0.0896078898	2
6586	0.1327891851	2
6637	0.0196751966	0
6725	0.1808920156	19
6753	0.0412767565	0
6754	0.0579508836	0
6766	0.1081695353	18
6767	0.1081695353	18
6793	0.0976597596	13
6796	0.0890051655	0
6807	0.2235253167	34
6810	0.144119381	132
6811	0.0850822959	32
6812	0.0691886768	22
6813	0.0262366275	5
6814	0.1477006048	10
6818	0.0301135682	0
6820	0.0329885007	3
6865	0.0218755955	0
6928	0.1474338408	10
6950	0.0476352376	6
6952	0.0774111392	8
7049	0.0544781863	8
7059	0.1002251317	3
7154	0.0220470099	0
7165	0.0203364992	0
8033	0.0217562178	4
8094	0.089120926	1
8104	0.0422145296	12
8115	0.1705300883	4
8152	0.5131334938	1768
8168	0.0349829394	4
8198	0.1723283459	4
8272	0.3305394391	8
8324	0.0678794066	19
8509	0.0484111277	4
8556	0.154979969	6
8643	0.1965515487	38
8851	0.1576136592	4
8982	0.2218279437	15
9056	0.0847770355	0
9058	0.1480187772	18
9059	0.0781204936	0
9064	0.0240877981	0
9065	0.1088430751	2
9066	0.0416989685	1
9067	0.0457449059	1
9072	0.0479422818	4
9074	0.2345304775	4
9086	0.0179865715	2
9110	0.1090069744	18
9117	0.0408904508	0
9124	0.0173602785	0
9127	0.0257852411	0
9142	0.0535059211	0
9145	0.0573729168	0
9152	0.0144334376	0
9156	0.0178083861	0
9163	0.022557087	0
9165	0.0156230692	0
9168	0.0257852411	0
9201	0.0551504356	0
9206	0.0573729168	0
9235	0.2629918181	18
9236	0.2629918181	18
9250	0.1155320554	2
9253	0.0104513623	0
9260	0.0132352118	0
9274	0.1198458257	3
9276	0.1265521186	3
9288	0.2026835439	25
9295	0.0857737946	3
9306	0.0326181758	7
9308	0.0665818032	2
9399	0.0367812582	1
9401	0.2980848227	38
9425	0.2244461469	9
9607	0.1016286246	8
9615	0.1741837113	7
9889	0.0471272977	0
9987	0.3870027216	241
10467	0.0726351408	2
10468	0.0477583681	0
10556	0.0471272977	0
15031	0.0426478851	12
15075	0.0812133811	37
15077	0.0407192004	8
15078	0.0205001805	0
15079	0.154979969	6
15103	0.0765130391	8
15116	0.3586661342	8
15144	0.1519276721	23
15171	0.0424728472	0
15291	0.0871187806	10
15293	0.1306497026	10
15294	0.1383788692	10
15295	0.1805047093	12
15399	0.0572874569	16
15405	0.0572874569	16
15419	0.4606395631	8
15662	0.154979969	6
15672	0.0912681229	17
15698	0.071267046	8
15711	0.0282151938	0
15734	0.143892202	4
15849	0.0358907347	0
15985	0.0579508836	0
15986	0.0579508836	0
15992	0.0301135682	0
16020	0.2606296272	114
16021	0.1971683478	22
16043	0.0572346213	7
16051	0.0277183168	1
16054	0.0390106735	2
16070	0.0678284843	6
16151	0.1829156535	8
16163	0.0097710457	0
16462	0.0713726582	20
16469	0.1494928055	0
16491	0.1012101592	16
16645	0.0176232942	4
16647	0.1705300883	4
16651	0.0435121956	10
16655	0.0343294543	10
16705	0.023712659	0
16706	0.0567345477	0
16732	0.0097710457	0
16740	0.1732253492	10
16741	0.0361321147	4
16746	0.0313086931	0
16772	0.0713602988	7
16773	0.0535396707	13
16787	0.2417791196	15
16788	0.0785547584	5
16798	0.0614293155	9
16817	0.0736770197	24
16818	0.071671137	20
16820	0.0641755523	14
16829	0.0661564213	23
16835	0.0150470453	4
16836	0.013027335	4
16840	0.1584924732	5
16841	0.0506230828	4
16853	0.0358526895	3
16887	0.0498755124	8
17076	0.0978544297	4
17111	0.0703070477	20
18130	0.0830097125	16
19219	0.045520012	0
19222	0.0520817675	0
19299	0.0012955379	0
19321	0.0057680624	0
19438	0.0801700946	16
19509	0.2215502505	4
19538	0.0627892402	0
19544	0.2169982129	2
19545	0.5402601672	2
