#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
49	0.0414	0
105	0.4774	14
107	0.7796	0
154	0.0805	0
160	0.0239	0
162	0.3052	3
166	0.225	275
270	0.0638	0
271	0.0309	1
413	0.017	0
502	0.1997	2
746	0.1815	10
902	0.0854	0
910	0.0109	0
917	0.0132	0
1071	0.0406	0
1510	0.0623	1
1514	0.5235	1
1539	0.1783	11
1682	0.0989	0
1882	0.2198	230
1883	0.2194	225
2161	0.2283	1
2252	0.114	22
2376	0.1014	22
3333	0.0198	0
3676	0.2597	269
3677	0.1771	0
3700	0.0406	0
3723	0.2036	82
3735	0.352	107
3755	0.017	0
3774	0.1767	12
3824	0.6443	15792
3896	0.0491	0
3899	0.0497	0
3916	0.0275	2
3918	0.1119	1
3924	0.0521	0
3954	0.1932	13
4386	0.033	0
4518	0.1263	86
4519	0.1168	61
4526	0.0166	0
4527	0.1965	86
4540	0.0151	0
4553	0.0886	0
4774	0.3961	0
4775	0.3961	0
4803	0.0536	8
4812	0.1929	11
4820	0.2793	4
4857	0.0139	0
4871	0.0223	0
4872	0.0647	0
5198	0.278	114
5215	0.1414	57
5315	0.3122	3
5351	0.0999	1
5402	0.0999	1
5488	0.4619	3819
5506	0.0317	0
5515	0.0223	0
5524	0.1957	159
5525	0.0663	0
5618	0.0532	2
5622	0.2887	636
5623	0.3407	1411
5694	0.2191	34
5737	0.3095	445
5829	0.0293	1
5840	0.3018	106
5886	0.1247	0
5975	0.1054	4
5976	0.0331	0
5996	0.0444	1
6006	0.0672	0
6007	0.069	0
6022	0.0607	0
6023	0.2322	0
6024	0.2322	0
6066	0.0806	0
6081	0.1466	3
6082	0.2007	115
6084	0.0485	0
6090	0.2445	3
6091	0.0964	29
6098	0.0722	0
6105	0.1177	0
6119	0.0981	0
6139	0.2684	419
6152	0.0613	0
6163	0.0829	6
6164	0.1147	15
6184	0.0498	0
6188	0.0992	1
6189	0.0992	1
6195	0.0595	0
6200	0.064	0
6213	0.0964	0
6220	0.1096	0
6221	0.0763	0
6222	0.0816	0
6259	0.1164	0
6260	0.0483	2
6261	0.0693	2
6265	0.0286	2
6269	0.0393	0
6276	0.1118	0
6281	0.0496	0
6304	0.0387	0
6310	0.0627	0
6313	0.0647	6
6323	0.0447	0
6351	0.0839	0
6355	0.0828	0
6364	0.0581	0
6396	0.0844	0
6399	0.1652	20
6412	0.3169	172
6414	0.0825	1
6417	0.0624	2
6418	0.305	11
6426	0.3351	4
6448	0.149	1
6450	0.1632	1
6451	0.5235	1
6457	0.0327	1
6461	0.0206	0
6520	0.2271	99
6525	0.1412	2
6526	0.2324	2
6527	0.0489	0
6536	0.0247	0
6541	0.0355	0
6544	0.0772	0
6546	0.1785	0
6547	0.3543	14
6551	0.3247	1
6560	0.3545	0
6561	0.3545	0
6568	0.1527	3
6575	0.0468	4
6576	0.1481	5
6580	0.2275	0
6586	0.1527	3
6629	0.0539	1
6631	0.0225	5
6633	0.026	5
6637	0.0412	0
6643	0.0699	3
6644	0.068	0
6664	0.078	3
6720	0.0892	3
6721	0.1099	3
6725	0.2943	633
6730	0.2207	0
6732	0.088	2
6733	0.095	0
6739	0.0811	0
6740	0.0687	0
6753	0.1283	44
6754	0.1362	18
6766	0.2358	48
6767	0.2358	48
6771	0.2863	9
6772	0.0272	2
6777	0.1798	0
6778	0.0548	8
6779	0.0649	8
6782	0.2391	0
6783	0.1593	1
6790	0.0439	0
6793	0.1567	65
6796	0.1488	54
6807	0.3382	907
6810	0.1806	130
6811	0.1005	64
6812	0.0924	40
6813	0.0394	7
6814	0.0819	14
6817	0.326	6
6818	0.0463	21
6820	0.0639	0
6865	0.02	2
6869	0.1171	0
6928	0.1639	11
6935	0.07	2
6950	0.0609	0
6952	0.0464	18
6974	0.0496	0
6996	0.0425	0
7049	0.0471	1
7059	0.1382	4
7154	0.033	0
7155	0.0821	0
7165	0.0298	0
8026	0.0123	1
8094	0.0901	2
8104	0.0698	1
8137	0.1384	8
8152	0.6074	15792
8168	0.0531	0
8172	0.1688	0
8233	0.0394	0
8272	0.0635	6
8299	0.0958	3
8324	0.0706	28
8360	0.0952	0
8410	0.1257	4
8509	0.0724	5
8556	0.1632	6
8610	0.061	3
8616	0.1112	0
8643	0.2164	33
8652	0.2487	70
8654	0.0719	0
8746	0.1016	2
8750	0.1532	2
8851	0.1621	4
8901	0.0608	4
8915	0.0642	0
8940	0.3512	1
8982	0.2247	0
8988	0.1801	0
9039	0.7255	4
9055	0.0586	25
9056	0.0949	1
9058	0.3064	845
9059	0.2017	235
9061	0.4272	34
9063	0.0532	0
9064	0.0924	0
9065	0.0652	0
9066	0.0374	0
9067	0.0415	0
9069	0.0319	0
9071	0.1785	0
9072	0.0847	2
9073	0.1143	2
9081	0.2051	0
9082	0.2201	0
9084	0.1876	2
9098	0.3247	1
9106	0.7779	0
9107	0.7779	0
9108	0.0893	11
9110	0.2479	47
9116	0.0937	9
9117	0.1297	44
9119	0.0982	10
9123	0.1001	6
9124	0.1498	22
9125	0.0585	0
9126	0.0808	4
9127	0.1236	14
9128	0.064	0
9129	0.0463	0
9130	0.0463	0
9141	0.0762	4
9142	0.12	17
9143	0.0615	0
9144	0.0683	3
9145	0.1336	18
9146	0.0613	0
9150	0.0853	6
9152	0.1241	16
9154	0.0607	0
9156	0.1577	21
9158	0.064	0
9161	0.1031	6
9163	0.1425	22
9164	0.06	0
9165	0.1358	30
9166	0.0542	0
9167	0.0808	4
9168	0.1236	14
9169	0.064	0
9173	0.0816	0
9174	0.0816	0
9199	0.0772	3
9201	0.1275	17
9203	0.0613	0
9205	0.0683	3
9206	0.1336	18
9207	0.0613	0
9218	0.1648	0
9220	0.1648	0
9225	0.0143	0
9228	0.0228	1
9231	0.2863	9
9235	0.3289	30
9236	0.3359	30
9240	0.3496	3
9245	0.1658	3
9247	0.1255	3
9252	0.2468	0
9259	0.1189	21
9260	0.1748	34
9261	0.0607	0
9268	0.0473	0
9273	0.2047	0
9274	0.1829	7
9276	0.1946	6
9279	0.0425	0
9288	0.1748	21
9289	0.1836	0
9292	0.0523	0
9294	0.053	0
9306	0.0398	0
9308	0.0774	6
9309	0.1655	3
9311	0.1161	7
9312	0.1351	7
9325	0.5188	1
9376	0.7873	4
9399	0.2025	10
9401	0.3317	34
9404	0.0395	2
9405	0.1252	52
9425	0.1627	0
9426	0.227	1
9435	0.0863	6
9451	0.0727	0
9521	0.3825	22
9522	0.1101	0
9523	0.2281	7
9579	0.1416	32
9605	0.0478	2
9607	0.0628	19
9615	0.1045	22
9628	0.0157	3
9653	0.0398	0
9767	0.4908	2
9772	0.2436	0
9847	0.0815	0
9889	0.0854	0
9891	0.0273	1
9893	0.0246	1
9987	0.5119	5781
10035	0.0607	9
10038	0.0654	9
10467	0.2014	279
10468	0.0873	0
10556	0.0854	0
10557	0.0273	1
10604	0.0273	1
10608	0.0588	2
10628	0.0369	4
10876	0.1171	0
15031	0.0691	1
15074	0.0432	0
15075	0.0829	26
15077	0.0442	32
