#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
49	0.0031	0
105	0.0016	0
107	2.0E-4	0
154	0.0022	0
160	0.0114	0
162	8.0E-4	0
166	0.1103	3
270	0.0061	0
271	0.0112	0
413	0.0016	0
502	6.0E-4	0
746	0.0019	0
902	0.0029	0
910	0.0043	0
917	0.0027	0
1071	0.0241	0
1510	0.0032	0
1514	2.0E-4	0
1539	0.0045	0
1682	4.0E-4	0
1882	0.0799	3
1883	0.0793	3
2161	4.0E-4	0
2252	0.0018	0
2376	0.0019	0
3333	7.0E-4	0
3676	0.1814	0
3677	0.1297	0
3700	0.0239	0
3723	0.0233	0
3735	0.0137	0
3755	0.0016	0
3774	0.0046	0
3824	0.5471	9549
3896	0.0023	0
3899	0.0042	0
3916	0.0097	0
3918	4.0E-4	0
3924	0.0032	0
3954	0.0033	0
4386	0.0119	0
4518	0.041	0
4519	0.027	0
4526	9.0E-4	0
4527	0.0148	0
4540	0.0064	0
4553	0.0153	0
4774	1.0E-4	0
4775	1.0E-4	0
4803	0.0067	0
4812	0.0048	0
4820	4.0E-4	0
4857	0.0019	0
4871	0.0126	0
4872	0.0088	0
5198	0.0164	0
5215	0.0724	0
5315	7.0E-4	0
5351	0.0024	0
5402	0.0024	0
5488	0.3725	14
5506	0.01	0
5515	0.0138	0
5524	0.0736	4
5525	0.0071	0
5618	0.0025	0
5622	0.1002	4
5623	0.1921	1
5694	0.0067	0
5737	0.0745	4
5829	0.0015	0
5840	0.015	0
5886	0.0604	0
5975	0.0536	0
5976	0.0156	0
5996	0.0096	0
6006	0.0051	0
6007	0.0046	0
6022	0.007	0
6023	0.0017	0
6024	0.0017	0
6066	0.0026	0
6081	0.0016	0
6082	0.0385	0
6084	0.0011	0
6090	6.0E-4	0
6091	0.0131	0
6098	0.0014	0
6105	3.0E-4	0
6119	0.0014	0
6139	0.1823	0
6152	0.015	0
6163	0.0232	0
6164	0.0081	0
6184	0.0042	0
6188	0.001	0
6189	0.001	0
6195	0.0149	0
6200	0.0117	0
6213	0.0024	0
6220	0.0029	0
6221	0.0026	0
6222	0.0017	0
6259	0.0536	0
6260	0.0147	0
6261	0.0047	0
6265	0.0054	0
6269	0.0025	0
6276	0.0013	0
6281	0.0136	0
6304	0.0085	0
6310	0.0205	0
6313	0.0086	0
6323	0.0013	0
6351	0.0629	0
6355	0.0604	0
6364	0.0043	0
6396	0.0141	0
6399	0.0131	0
6412	0.0246	0
6414	0.0035	0
6417	0.0029	0
6418	0.0045	0
6426	4.0E-4	0
6448	8.0E-4	0
6450	8.0E-4	0
6451	2.0E-4	0
6457	0.0039	0
6461	0.0038	0
6520	0.0268	0
6525	0.0021	0
6526	9.0E-4	0
6527	6.0E-4	0
6536	0.0052	0
6541	0.0021	0
6544	0.0016	0
6546	8.0E-4	0
6547	0.0022	0
6551	6.0E-4	0
6560	3.0E-4	0
6561	3.0E-4	0
6568	0.001	0
6575	0.0056	0
6576	0.0032	0
6580	0.0019	0
6586	0.001	0
6629	0.0237	0
6631	0.0038	0
6633	0.0035	0
6637	0.0011	0
6643	0.0025	0
6644	0.0061	0
6664	0.0022	0
6720	0.003	0
6721	0.0023	0
6725	0.2016	0
6730	0.0028	0
6732	0.0148	0
6733	0.0035	0
6739	0.0017	0
6740	0.0014	0
6753	0.0334	0
6754	0.0044	0
6766	0.0091	0
6767	0.0091	0
6771	0.001	0
6772	0.003	0
6777	0.0014	0
6778	0.0033	0
6779	0.0027	0
6782	0.0016	0
6783	8.0E-4	0
6790	0.0096	0
6793	0.074	0
6796	0.0718	0
6807	0.2284	0
6810	0.102	0
6811	0.0287	0
6812	0.0159	0
6813	0.0039	0
6814	0.0048	0
6817	5.0E-4	0
6818	0.0049	0
6820	0.0092	0
6865	0.0032	0
6869	8.0E-4	0
6928	0.0049	0
6935	0.0033	0
6950	0.0307	0
6952	0.0097	0
6974	0.016	0
6996	0.0051	0
7049	0.0123	0
7059	0.0012	0
7154	0.0221	0
7155	0.0088	0
7165	0.0206	0
8026	0.0024	0
8094	0.0013	0
8104	0.0167	0
8137	0.0023	0
8152	0.5029	8002
8168	0.0325	0
8172	0.0037	0
8233	0.0299	0
8272	5.0E-4	0
8299	0.0031	0
8324	0.0195	0
8360	0.0025	0
8410	3.0E-4	0
8509	0.0103	0
8556	3.0E-4	0
8610	0.0159	0
8616	0.0021	0
8643	0.0067	0
8652	0.0179	0
8654	0.0064	0
8746	3.0E-4	0
8750	2.0E-4	0
8851	2.0E-4	0
8901	9.0E-4	0
8915	2.0E-4	0
8940	6.0E-4	0
8982	0.0028	0
8988	2.0E-4	0
9039	3.0E-4	0
9055	0.0123	0
9056	0.0497	0
9058	0.1827	0
9059	0.1147	0
9061	0.0035	0
9063	0.0049	0
9064	0.0047	0
9065	0.0023	0
9066	0.0042	0
9067	0.0044	0
9069	0.0021	0
9071	8.0E-4	0
9072	0.0038	0
9073	0.0026	0
9081	8.0E-4	0
9082	8.0E-4	0
9084	0.0018	0
9098	6.0E-4	0
9106	2.0E-4	0
9107	2.0E-4	0
9108	0.0105	0
9110	0.0091	0
9116	0.0251	0
9117	0.0334	0
9119	0.0226	0
9123	0.0178	0
9124	0.0081	0
9125	0.0127	0
9126	0.014	0
9127	0.0055	0
9128	0.0117	0
9129	0.0024	0
9130	0.0024	0
9141	0.0188	0
9142	0.0051	0
9143	0.0156	0
9144	0.0162	0
9145	0.0041	0
9146	0.015	0
9150	0.0222	0
9152	0.0075	0
9154	0.0151	0
9156	0.0088	0
9158	0.0117	0
9161	0.0156	0
9163	0.0082	0
9164	0.0147	0
9165	0.0138	0
9166	0.0158	0
9167	0.014	0
9168	0.0055	0
9169	0.0117	0
9173	0.0017	0
9174	0.0017	0
9199	0.0159	0
9201	0.0042	0
9203	0.015	0
9205	0.0162	0
9206	0.0041	0
9207	0.015	0
9218	0.0018	0
9220	0.0018	0
9225	0.0017	0
9228	0.0025	0
9231	0.001	0
9235	0.0043	0
9236	0.0044	0
9240	8.0E-4	0
9245	0.0014	0
9247	0.0017	0
9252	0.0016	0
9259	0.0234	0
9260	0.0112	0
9261	0.0151	0
9268	5.0E-4	0
9273	0.0026	0
9274	0.001	0
9276	8.0E-4	0
9279	0.0168	0
9288	0.0049	0
9289	0.0051	0
9292	0.0011	0
9294	5.0E-4	0
9306	0.0114	0
9308	0.0042	0
9309	0.0015	0
9311	0.0028	0
9312	0.0029	0
9325	4.0E-4	0
9376	2.0E-4	0
9399	0.001	0
9401	0.0054	0
9404	0.002	0
9405	0.009	0
9425	0.0024	0
9426	4.0E-4	0
9435	9.0E-4	0
9451	0.0093	0
9521	0.001	0
9522	3.0E-4	0
9523	7.0E-4	0
9579	0.0015	0
9605	0.0063	0
9607	0.0047	0
9615	0.0024	0
9628	0.0019	0
9653	0.0048	0
9767	6.0E-4	0
9772	3.0E-4	0
9847	0.0015	0
9889	0.0641	0
9891	5.0E-4	0
9893	5.0E-4	0
9987	0.4016	0
10035	0.005	0
10038	0.0014	0
10467	0.1043	0
10468	0.0655	0
10556	0.0641	0
10557	5.0E-4	0
10604	5.0E-4	0
10608	0.0033	0
10628	4.0E-4	0
10876	8.0E-4	0
15031	0.0168	0
15074	0.0065	0
15075	0.0262	0
15077	0.012	0
15078	0.0099	0
15079	7.0E-4	0
15081	0.0034	0
15097	0.0023	0
15098	3.0E-4	0
15103	0.0037	0
15116	4.0E-4	0
15144	0.0045	0
15197	7.0E-4	0
15235	0.0011	0
15267	0.0031	0
15291	0.008	0
15293	0.0052	0
15294	0.0049	0
15295	0.0024	0
15370	0.0032	0
15399	0.0107	0
15405	0.0107	0
15419	3.0E-4	0
15420	0.001	0
15604	3.0E-4	0
15662	5.0E-4	0
15672	0.0118	0
15689	3.0E-4	0
15694	0.0023	0
15698	0.0042	0
15711	0.0045	0
15716	4.0E-4	0
15774	0.001	0
15833	6.0E-4	0
15849	0.0042	0
15920	4.0E-4	0
15935	0.001	0
15939	6.0E-4	0
15940	4.0E-4	0
15947	0.005	0
15948	0.005	0
15975	0.005	0
15979	0.0022	0
