#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
104	0.1518723686	4
105	0.2165537114	8
160	0.0617264472	19
162	0.3981755668	0
166	0.2883078755	278
270	0.1390332366	17
271	0.0765908989	1
902	0.2213124695	21
1514	0.784105447	2
1539	0.2890798609	16
1882	0.2612631075	240
3676	0.2013170404	346
3677	0.1106555585	134
3700	0.0308302549	23
3723	0.2280354783	80
3735	0.4023900611	101
3755	0.0411362424	2
3774	0.1732034274	14
3824	0.7631514346	1768
3861	0.0012834859	0
3887	0.0241602455	1
3899	0.042591936	2
3916	0.056255389	2
3918	0.1778084014	2
3924	0.107877855	0
3954	0.3917096862	24
3989	0.1612193339	4
4129	0.3003712157	6
4333	0.5369627855	4
4371	0.2231298052	2
4375	0.5681321791	4
4386	0.0694886905	2
4553	0.0724520847	11
4774	0.7761094312	3
4775	0.7761094312	3
4803	0.1653352802	8
4812	0.26940333	33
4820	0.0064496874	0
4871	0.0685250784	48
5198	0.247800544	112
5215	0.1437848424	137
5315	0.1195290721	6
5342	0.0481549101	2
5381	0.1188048396	4
5488	0.5371441523	1744
5507	0.0488942427	0
5515	0.0243978669	0
5524	0.2318182109	179
5622	0.3291631255	489
5623	0.3558329063	680
5694	0.0385832972	2
5737	0.342776398	409
5829	0.0072469805	0
5840	0.3921705651	104
5886	0.0981862634	55
5975	0.1549221615	81
5976	0.0567842661	1
5996	0.0803033468	0
6022	0.1273915144	17
6023	0.4994297696	18
6024	0.4994297696	18
6063	0.2782606735	0
6064	0.2782606735	0
6066	0.0207464871	2
6071	0.080357155	1
6081	0.188568307	7
6082	0.3196043491	200
6090	0.3166271421	7
6091	0.1115763266	18
6119	0.1455737397	1
6139	0.2977627135	585
6152	0.0827367552	3
6163	0.1285944719	7
6164	0.1724032004	26
6184	0.0987090372	0
6188	0.2826443411	7
6189	0.3023236714	7
6195	0.0809964068	3
6200	0.0699746627	4
6259	0.1283340082	60
6260	0.0990877056	11
6261	0.0255197777	2
6265	0.056255389	2
6281	0.0934984994	6
6304	0.1340068068	12
6305	0.1523693015	1
6306	0.1523693015	1
6310	0.0529161166	0
6313	0.0738889432	7
6351	0.052609771	17
6355	0.0514371615	24
6396	0.1407893247	0
6399	0.2649332761	40
6400	0.1252649297	0
6412	0.3015590649	164
6414	0.0921546156	1
6417	0.1024414835	2
6418	0.5497874468	33
6426	0.0083408987	0
6448	0.160569608	2
6450	0.160569608	2
6451	0.784105447	2
6461	0.0121573887	0
6520	0.3428450883	157
6525	0.1912869235	8
6526	0.3593917368	8
6536	0.1025009981	0
6537	0.1298284907	1
6544	0.0942833218	3
6546	0.118351063	3
6547	0.1821040286	8
6548	0.1440849469	2
6551	0.0875964449	0
6553	0.038309853	2
6560	0.4623211552	1
6561	0.5703183757	1
6568	0.2194485162	0
6576	0.1014336438	0
6586	0.2194485162	0
6605	0.0105447499	0
6629	0.0930806801	26
6631	0.0201294241	4
6633	0.0213178698	4
6643	0.1578957124	0
6644	0.1252129281	5
6664	0.1880838825	0
6720	0.1265017405	8
6721	0.1686989641	8
6725	0.3534723067	716
6732	0.1218214945	6
6733	0.0440905646	0
6753	0.1739263897	44
6754	0.2135860044	13
6766	0.1887386341	22
6767	0.1887386341	22
6771	0.1631245389	3
6772	0.0751401837	0
6777	0.2222373781	10
6778	0.1372917474	7
6779	0.1527679619	8
6783	0.2424938397	5
6790	0.0537217586	0
6793	0.2286146179	143
6796	0.2267886594	142
6807	0.4290491589	1060
6810	0.1650793706	194
6811	0.0901174199	28
6812	0.094731048	30
6817	0.2732838887	5
6818	0.1394029609	20
6820	0.0467726882	8
6865	0.0292948904	3
6873	0.0899665977	3
6875	0.0523504523	4
6879	0.0544111503	4
6886	0.0092735114	0
6928	0.2835105225	16
6950	0.0668171838	4
6974	0.0897203036	6
7049	0.1002977389	17
7059	0.0210325597	0
7154	0.0706428238	54
7165	0.0716099226	52
8026	0.0764715264	2
8094	0.0762179102	1
8104	0.050853571	0
8137	0.2280870372	5
8152	0.7451500672	1768
8233	0.040477625	0
8299	0.1265017405	8
8324	0.1022622087	24
8360	0.2042576995	18
8410	0.1651895447	4
8509	0.041765871	2
8514	0.0400409141	2
8565	0.019270601	1
8610	0.1138354509	27
8616	0.1231706573	1
8643	0.0175294025	1
8652	0.3284312993	93
8653	0.0839380714	0
8654	0.128268765	6
8746	0.1530801361	4
8750	0.1530801361	4
8901	0.168663177	4
8940	0.4079022898	4
9055	0.0910436	3
9056	0.1094777795	3
9057	0.0223111198	1
9058	0.3894339096	862
9059	0.1902766151	301
9063	0.0513137442	2
9064	0.1598483618	9
9069	0.0350860096	1
9071	0.118351063	3
9072	0.1867284927	5
9073	0.2801796723	5
9081	0.1413507315	2
9082	0.1516566189	1
9084	0.3172955188	12
9085	0.046917175	2
9089	0.0491567698	2
9095	0.2472024947	2
9098	0.0875964449	0
9103	0.0853665905	0
9108	0.1207108108	8
9110	0.1961125395	22
9112	0.0577297428	0
9116	0.1395174184	5
9117	0.1751194298	44
9119	0.1398178992	8
9123	0.1297010863	11
9124	0.2286037449	38
9125	0.0685868122	4
9126	0.1072351295	5
9127	0.1685144418	18
9128	0.0699746627	4
9141	0.1096614951	5
9142	0.1418503472	12
9143	0.0823428397	3
9144	0.1023898986	3
9145	0.1691037696	12
9146	0.0827367552	3
9150	0.1267736027	6
9152	0.1677627603	26
9154	0.0823475199	3
9156	0.2359763519	40
9157	0.1639679132	1
9158	0.0699746627	4
9161	0.129893535	10
9162	0.0803635031	1
9163	0.1621802063	20
9164	0.0845462257	3
9165	0.1558635983	43
9166	0.0826396587	3
9167	0.1072351295	5
9168	0.1685144418	18
9169	0.0699746627	4
9176	0.1639679132	1
9177	0.1639679132	1
9187	0.0238895531	0
9190	0.0241620399	0
9199	0.1068418183	5
9201	0.1589026016	12
9203	0.0827367552	3
9205	0.1023898986	3
9206	0.1691037696	12
9207	0.0827367552	3
9228	0.0872588581	0
9229	0.0847896387	0
9231	0.1631245389	3
9233	0.1326408393	2
9234	0.1326408393	2
9235	0.1967291133	14
9236	0.1967291133	14
9240	0.4564258103	8
9245	0.3120439303	0
9247	0.233872328	0
9252	0.4994297696	18
9259	0.1541862348	21
9260	0.228192569	42
9261	0.0823475199	3
9262	0.0772497015	2
9273	0.4140120543	18
9279	0.044899346	9
9288	0.2730154714	16
9306	0.030351629	0
9308	0.0601248564	0
9309	0.1977978992	0
9311	0.1047674579	0
9312	0.127149903	0
9317	0.1612193339	4
9325	0.4713413302	4
9376	0.0709997897	0
9401	0.0146921041	1
9423	0.3016594636	3
9425	0.2266641149	1
9432	0.0311448063	0
9435	0.0567930446	0
9653	0.1297094079	21
9889	0.0599564512	22
9987	0.6311351792	1768
9991	0.0192547923	0
10467	0.177497281	271
10468	0.063210658	28
10556	0.0599564512	22
15002	0.2874862347	6
15031	0.0461339334	0
15075	0.101319575	32
15077	0.1354016217	32
15078	0.1347876862	26
15081	0.0904539767	1
15144	0.0229959731	1
15171	0.0188025542	4
15235	0.6012677662	9
15291	0.0755039516	10
15293	0.051106241	5
15294	0.0368062472	1
15343	0.17076383	4
15399	0.0862894714	16
15405	0.0862894714	16
15420	0.6511092954	9
15603	0.17076383	4
15604	0.5647410226	2
15627	0.0182821626	1
15628	0.0182821626	1
15672	0.1143022345	19
15688	0.17076383	4
15698	0.0658894521	5
15711	0.0204092344	2
15716	0.3673253931	2
15849	0.0209800436	2
15891	0.17076383	4
15925	0.0463114185	1
15930	0.2383092418	1
15936	0.0957840417	2
15937	0.1282098509	2
15939	0.0385214366	0
15940	0.0798867036	0
15942	0.0917213697	2
15980	0.1244275092	13
15985	0.2135860044	13
15986	0.2135860044	13
15988	0.1699241505	10
15991	0.1817409054	10
15992	0.1394029609	20
16020	0.2175979431	331
16021	0.1317165548	90
16043	0.0821409776	22
16051	0.1035226353	20
16052	0.0507140305	0
16053	0.2629090212	103
16054	0.0436346145	1
16070	0.1136228981	49
16114	0.1686989641	8
16209	0.025603146	2
16310	0.0738642689	1
16405	0.4402735779	3
16421	0.1612193339	4
16462	0.1590561257	18
16469	0.2395757461	20
16491	0.1870128768	186
16627	0.0220177689	2
16638	0.0859821543	4
16642	0.5681321791	4
