#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
104	0.1376	3
105	0.27	9
155	0.0376	4
160	0.0574	16
162	0.1815	0
166	0.2589	314
270	0.127	16
271	0.0689	2
902	0.2292	16
910	0.0181	1
1514	0.1156	3
1539	0.3951	37
1882	0.2448	262
3676	0.1934	389
3677	0.1174	143
3700	0.0302	23
3723	0.2262	87
3735	0.2544	110
3755	0.033	1
3774	0.3372	22
3824	0.7083	4631
3861	0.0091	0
3899	0.0548	1
3916	0.129	0
3918	0.2769	0
3924	0.0705	0
3954	0.3925	23
3989	0.0555	4
4129	0.1503	6
4333	0.0868	2
4375	0.1578	4
4386	0.0801	1
4497	0.0095	2
4518	0.0684	6
4519	0.0346	0
4527	0.0451	0
4540	0.0598	8
4553	0.1142	28
4672	0.0366	4
4673	0.0373	4
4733	0.0129	1
4774	0.164	4
4775	0.164	4
4803	0.0893	20
4812	0.262	29
4820	0.0035	0
4854	0.0827	2
4871	0.0637	54
4872	0.0455	6
5198	0.2428	126
5215	0.1591	201
5310	0.1227	0
5315	0.4547	6
5351	0.1732	16
5381	0.1239	3
5402	0.1732	16
5488	0.4812	2953
5507	0.062	0
5524	0.2163	201
5525	0.0589	0
5618	0.0264	3
5622	0.3095	550
5623	0.3453	1060
5694	0.122	0
5737	0.3221	441
5829	0.007	0
5840	0.2314	114
5886	0.1332	97
5975	0.168	92
5976	0.0594	2
5984	0.155	4
5991	0.1953	4
5992	0.0899	0
6007	0.0613	1
6022	0.1196	16
6023	0.4514	16
6024	0.4514	16
6073	0.1184	0
6081	0.2736	10
6082	0.2903	213
6084	0.1311	2
6089	6.0E-4	0
6090	0.4281	10
6091	0.1191	15
6099	0.0836	0
6105	0.4524	1
6119	0.2317	1
6139	0.2662	681
6152	0.0823	4
6163	0.127	10
6164	0.1854	28
6184	0.0635	0
6188	0.3469	8
6189	0.3713	8
6195	0.0802	4
6200	0.0699	4
6220	0.1585	7
6221	0.1437	5
6222	0.1593	2
6259	0.1347	97
6260	0.0853	2
6261	0.0397	0
6265	0.1291	0
6268	0.2951	0
6281	0.087	10
6304	0.0792	6
6310	0.0624	22
6313	0.0936	21
6351	0.059	25
6355	0.0572	24
6396	0.1612	4
6399	0.2785	43
6400	0.1025	1
6412	0.2891	158
6414	0.0922	5
6417	0.1022	5
6418	0.5388	29
6426	0.0046	0
6448	0.1507	5
6450	0.1507	5
6451	0.1156	3
6461	0.0205	0
6520	0.3159	171
6525	0.129	4
6526	0.2125	4
6527	0.231	1
6536	0.1379	2
6537	0.2579	2
6544	0.0263	4
6546	0.04	4
6547	0.2085	9
6548	0.3881	0
6551	0.1413	0
6560	0.4478	5
6561	0.548	5
6568	0.1224	0
6569	0.0293	0
6575	0.0342	0
6576	0.0884	0
6586	0.1224	0
6629	0.0787	24
6631	0.0156	4
6633	0.0172	3
6637	0.1082	2
6643	0.0747	0
6644	0.1271	10
6664	0.0896	0
6720	0.1623	10
6721	0.1885	10
6725	0.3108	893
6732	0.1202	7
6753	0.1608	43
6754	0.2689	22
6766	0.2691	45
6767	0.2691	45
6771	0.2531	8
6772	0.0605	0
6777	0.1271	6
6778	0.1162	6
6779	0.1189	6
6782	0.2195	1
6783	0.2334	1
6790	0.0363	0
6793	0.2045	138
6796	0.1978	133
6807	0.3773	1450
6810	0.1897	318
6811	0.1265	51
6812	0.1291	48
6813	0.0688	4
6814	0.1729	11
6817	0.4088	8
6818	0.1383	23
6820	0.0694	3
6835	0.1227	0
6873	0.0277	4
6875	0.0303	4
6879	0.0323	4
6928	0.3839	37
6950	0.0874	40
6952	0.1417	49
6974	0.0834	10
6979	0.0907	2
7049	0.1027	18
7154	0.072	65
7165	0.0718	69
8094	0.1225	1
8104	0.0565	8
8115	0.1629	5
8137	0.2985	13
8152	0.6668	4631
8168	0.0453	0
8198	0.0063	0
8233	0.0459	0
8272	0.119	2
8299	0.1623	10
8324	0.1317	53
8360	0.2391	16
8410	0.0946	3
8483	0.081	1
8514	0.0645	1
8556	0.4971	4
8565	0.0288	3
8610	0.0961	22
8643	0.1449	28
8652	0.3032	80
8654	0.1354	10
8746	0.3392	2
8750	0.3392	2
8851	0.2608	0
8901	0.357	4
8940	0.0821	2
8982	0.1862	13
9039	0.5394	1
9056	0.1301	5
9058	0.3194	1001
9059	0.1652	265
9060	0.1117	0
9063	0.1383	8
9064	0.1785	10
9065	0.0869	2
9069	0.0176	4
9071	0.04	4
9072	0.1783	5
9073	0.2591	5
9074	0.274	3
9081	0.1799	0
9082	0.235	0
9084	0.3467	13
9098	0.1413	0
9108	0.1303	13
9110	0.2773	45
9112	0.1384	0
9116	0.1307	16
9117	0.1623	43
9119	0.1341	15
9123	0.1193	8
9124	0.2116	30
9125	0.0685	4
9126	0.1053	5
9127	0.219	24
9128	0.0699	4
9129	0.1708	4
9130	0.1708	4
9141	0.1069	9
9142	0.1745	20
9143	0.0839	4
9144	0.0986	7
9145	0.1891	23
9146	0.0823	4
9147	0.1049	2
9150	0.123	10
9152	0.1879	28
9154	0.0817	4
9156	0.2182	28
9157	0.2784	2
9158	0.0699	4
9161	0.1151	8
9162	0.1283	2
9163	0.1629	19
9164	0.0777	4
9165	0.1365	24
9166	0.074	4
9167	0.1053	5
9168	0.219	24
9169	0.0699	4
9173	0.1593	2
9174	0.1593	2
9176	0.2784	2
9177	0.2784	2
9199	0.1029	9
9200	0.3371	2
9201	0.1698	21
9203	0.0823	4
9205	0.0986	7
9206	0.1891	23
9207	0.0823	4
9211	0.3371	2
9219	0.2808	1
9221	0.2808	1
9228	0.0969	1
9229	0.0396	1
9231	0.2531	8
9233	0.2925	0
9234	0.2925	0
9235	0.4273	29
9236	0.4273	29
9240	0.5428	10
9245	0.1504	0
9247	0.1116	0
9250	0.1021	0
9252	0.4514	16
9259	0.1392	14
9260	0.2156	31
9261	0.0817	4
9262	0.1514	2
9263	0.2211	2
9265	0.2808	1
9273	0.3738	16
9274	0.124	3
9276	0.1316	3
9279	0.0303	7
9288	0.4825	49
9306	0.0397	1
9308	0.0496	0
9309	0.0898	0
9310	0.0205	0
9311	0.0667	0
9312	0.0744	0
9317	0.0555	4
9325	0.1025	2
9376	0.0087	0
9394	0.2808	1
9399	0.1451	17
9401	0.2367	28
9423	0.2698	0
9425	0.4388	21
9426	0.2961	0
9435	0.025	0
9451	0.1469	2
9607	0.1809	48
9615	0.3164	57
9653	0.1313	16
9889	0.0622	28
9987	0.5507	4196
10467	0.1582	263
10468	0.0642	29
10556	0.0622	28
15002	0.1367	6
15031	0.0528	9
15075	0.1392	74
15077	0.1434	28
15078	0.1409	29
15079	0.1979	4
15098	0.0778	2
15103	0.0264	2
15116	0.1356	2
15144	0.1455	21
15235	0.4744	9
15291	0.1208	13
15293	0.1423	13
15294	0.1379	13
15295	0.1732	16
15343	0.1283	3
15399	0.1022	30
15405	0.1022	30
15419	0.1736	2
15420	0.5322	9
15450	0.012	0
15603	0.1283	3
15604	0.1397	0
15627	0.0154	4
15628	0.0154	4
15662	0.331	4
15672	0.1677	39
15688	0.1189	3
15689	0.0778	2
15698	0.1157	10
15711	0.0428	2
15734	0.0139	0
15774	0.0589	2
15849	0.0502	1
15891	0.1189	3
15925	0.1399	1
15930	0.234	2
15939	0.004	0
15940	0.0072	0
15942	0.2331	0
15980	0.1009	3
15985	0.2689	22
15986	0.2689	22
15988	0.1405	8
15991	0.1531	8
15992	0.1383	23
16020	0.2735	985
16021	0.1941	291
16043	0.0938	22
16051	0.1009	22
16053	0.2399	98
16054	0.083	3
16070	0.108	73
16114	0.1885	10
16151	0.2168	2
16163	0.1332	1
16301	0.0635	4
16310	0.0631	4
16405	0.164	4
16421	0.0555	4
16462	0.1692	45
16469	0.1791	15
16491	0.1784	203
16638	0.0473	6
16641	0.0117	1
16642	0.1578	4
16645	0.0685	1
16647	0.1629	5
16651	0.2989	43
16652	0.2436	2
16655	0.4195	36
16661	0.1705	4
16671	0.0759	4
16675	0.1503	6
16676	0.1503	6
16695	0.357	4
16699	0.357	4
16701	0.0227	0
16702	0.0599	0
16706	0.0585	0
16725	0.1773	1
16726	0.0529	0
16730	0.3101	7
16732	0.1332	1
16740	0.2302	4
16741	0.0469	0
16769	0.0789	1
16772	0.1013	13
16773	0.0727	15
16775	0.0372	4
16779	0.0352	1
16782	0.0248	2
16783	0.0102	0
16787	0.2923	275
16788	0.0936	17
16798	0.0972	14
16810	0.0383	0
16811	0.0272	2
16817	0.1675	45
16818	0.1676	45
16820	0.1235	32
16829	0.0938	0
16835	0.0601	1
16836	0.0715	0
16840	0.0224	0
16841	0.043	0
16859	0.0318	1
16860	0.0601	1
16874	0.1548	46
16875	0.2583	29
16876	0.2583	29
16877	0.0639	4
16878	0.0639	4
16879	0.1067	12
16881	0.0989	6
16885	0.0475	4
16887	0.1215	7
17004	0.0097	0
17076	0.2419	259
17111	0.1675	46
18130	0.1601	234
18208	0.033	1
18492	0.3233	2
19001	0.0477	0
19219	0.0582	24
19222	0.0685	29
19288	0.5428	10
19295	0.4256	1
19296	0.4256	1
19320	0.0593	1
19359	0.039	0
19363	0.039	0
19438	0.1526	210
19439	0.0816	4
19464	0.166	4
19509	0.0896	2
19538	0.2035	208
19545	0.4524	1
19556	0.3881	0
19557	0.3881	0
19627	0.4485	6
19634	0.7296	9
19637	0.1979	104
19674	0.0392	0
19682	0.5428	10
19692	0.2305	1
19693	0.1453	17
19720	0.1271	6
19725	0.0253	2
19752	0.2912	204
19829	0.2719	26
19843	0.3905	70
19867	0.0398	8
22402	0.0187	1
22603	0.2269	16
22604	0.2391	16
22607	0.0782	5
22613	0.1116	2
22804	0.1213	44
22857	0.1289	75
22890	0.1226	30
22891	0.1273	73
22892	0.1256	79
22900	0.2002	18
30001	0.1012	21
30003	0.0303	4
30091	0.1253	4
30170	0.0698	4
30203	0.127	16
30288	0.0278	1
