#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
96	0.0389057303	2
97	0.0431123296	2
166	0.1259395087	0
255	0.2889958496	1
270	0.0183367639	1
271	0.0199340003	0
1539	0.2098851286	19
1882	0.1068587359	0
3676	0.1255826025	43
3677	0.0898254116	24
3774	0.1608815575	8
3824	0.5942712371	1768
3916	0.0503314989	0
3918	0.1081649192	0
4518	0.0636420338	0
4527	0.0261580388	3
4540	0.0632983884	1
4553	0.0696570903	11
4803	0.0259346483	3
5198	0.02151721	1
5215	0.1083635172	76
5351	0.166994467	14
5402	0.166994467	14
5488	0.3607950718	442
5506	0.0301402923	0
5507	0.0127623747	0
5524	0.1002983181	1
5618	0.0233032779	2
5622	0.1199332002	28
5623	0.2315307928	153
5694	0.0926849718	0
5737	0.0862161647	0
5886	0.1099822389	13
5975	0.074516752	13
5976	0.0278601072	0
6022	0.0309503866	1
6026	0.0261797156	3
6027	0.0118240126	2
6073	0.0136092158	0
6082	0.0415172945	0
6084	0.261128656	1
6091	0.0532564868	0
6105	0.2798055833	2
6139	0.1634962939	26
6164	0.0127465863	4
6261	0.033589678	0
6265	0.0506908195	0
6268	0.3164645767	0
6313	0.024754625	3
6351	0.0484407232	9
6355	0.047256375	9
6396	0.0293754393	0
6399	0.0320754006	0
6401	0.0193162649	1
6520	0.0279720933	2
6525	0.0604339537	2
6527	0.2082833266	2
6536	0.0231423745	0
6555	0.0607571363	4
6568	0.0826547949	0
6569	0.1178840645	0
6576	0.047689693	0
6586	0.0826547949	0
6637	0.2199116972	1
6725	0.1884420681	63
6753	0.0485964659	2
6754	0.0671163182	4
6766	0.1108303424	16
6767	0.1108303424	16
6793	0.1039720845	7
6796	0.0947151805	2
6807	0.2309886945	54
6810	0.1460501835	143
6811	0.082786483	29
6812	0.068243324	24
6813	0.0309228576	4
6814	0.1589260884	10
6818	0.0137314693	4
6820	0.0391984721	1
6865	0.0207847246	1
6928	0.203204971	19
6950	0.0616509535	15
6952	0.1201697883	14
7049	0.0188950805	0
7059	0.006021989	0
7154	0.025411739	1
7165	0.023189803	1
8033	0.0340240663	0
8094	0.0541954358	0
8104	0.0211722116	0
8115	0.4744323577	4
8152	0.5201277296	1768
8168	0.0404802939	6
8198	0.0452222406	0
8272	0.3602434653	7
8324	0.0789710547	8
8509	0.052459165	0
8556	0.2347874834	4
8643	0.15399769	32
8851	0.0228376188	0
8982	0.1789293266	11
9056	0.0885049549	1
9058	0.1511141908	46
9059	0.0800617177	21
9064	0.0220863501	2
9065	0.0938068507	2
9066	0.0292455687	2
9067	0.0321112895	2
9072	0.0163178686	1
9074	0.1012713096	1
9086	0.0629423514	4
9110	0.070665115	14
9117	0.0479617098	2
9124	0.0114034975	4
9127	0.0130707148	4
9142	0.0653574231	4
9145	0.0668650475	4
9152	0.0128722586	4
9156	0.0117012238	4
9163	0.0114278918	4
9165	0.0155285948	4
9168	0.0130707148	4
9201	0.0659855999	4
9206	0.0668650475	4
9235	0.1794461472	14
9236	0.1794461472	14
9250	0.0279468621	0
9253	0.0118240126	2
9260	0.0125565683	4
9274	0.1030939277	2
9276	0.1101721594	2
9288	0.270309644	28
9295	0.0168833231	0
9306	0.0119052586	0
9308	0.0363164336	0
9399	0.1677338497	6
9401	0.2504259866	32
9425	0.2686879401	11
9607	0.163461556	14
9615	0.2745885391	14
9889	0.0495120779	9
9987	0.3881850543	295
10467	0.0738772411	9
10468	0.050061661	9
10556	0.0495120779	9
15031	0.0209622144	0
15075	0.0906186801	41
15077	0.0287710162	8
15078	0.0145320047	3
15079	0.0906049961	4
15103	0.0804594314	7
15116	0.3921961521	7
15144	0.1492628748	21
15171	0.0672881583	2
15291	0.086343398	8
15293	0.1261896654	9
15294	0.1323145162	9
15295	0.166994467	14
15399	0.0650610459	15
15405	0.0650610459	15
15419	0.5038475445	7
15662	0.1554395304	4
15672	0.0966806397	20
15698	0.0699779797	7
15711	0.030839563	2
15734	0.0856095147	0
15849	0.0334117481	2
15985	0.0671163182	4
15986	0.0671163182	4
15992	0.0137314693	4
16020	0.270654188	378
16021	0.2092068398	178
16043	0.0605115627	9
16051	0.0166528264	0
16054	0.0334292883	1
16070	0.0696433694	13
16151	0.1609532706	5
16163	0.4368565709	3
16462	0.0810465278	23
16469	0.0339204417	1
16491	0.1086934474	46
16645	0.0650336647	4
16647	0.4113642406	4
16651	0.074241235	10
16655	0.0335140876	10
16705	0.0226504736	1
16706	0.0486360727	1
16732	0.4368565709	3
16740	0.1774221005	51
16741	0.0396043735	5
16746	0.0321965553	1
16772	0.0735798262	8
16773	0.0474120441	11
16787	0.2554734992	35
16788	0.0873531091	0
16798	0.0618438644	10
16817	0.0841914393	25
16818	0.0807607151	23
16820	0.0487097895	16
16829	0.048871941	6
16835	0.0116694402	0
16836	0.0096029372	0
16840	0.0112380925	0
16841	0.0070006473	0
16853	0.0373905822	0
16887	0.0616773799	14
17076	0.1071673978	0
17111	0.0798836554	23
18130	0.0846019896	36
19219	0.047774312	8
19222	0.0555130867	11
19299	0.0303976102	1
19321	0.0178258427	1
19438	0.0827852964	38
19509	0.0650465983	4
19538	0.0715997623	7
19544	0.1473844041	0
19545	0.2798055833	2
19566	0.0551162137	1
19627	0.4149380241	2
19634	0.7050867795	6
19637	0.0719692488	16
19752	0.0408130086	0
19829	0.0607415733	8
22607	0.0618284797	3
22804	0.0884166396	35
22857	0.0896633273	50
22890	0.0399644973	8
22891	0.0934921761	50
22892	0.0959444943	50
22900	0.0899820449	1
30001	0.0779469262	14
30030	0.0583962646	2
30203	0.0183367639	1
30312	0.0289277743	2
30313	0.0300328139	2
30554	0.1009824598	1
31224	0.2091640704	178
31323	0.0519761164	11
31326	0.0495120779	9
31975	0.030003868	2
32196	0.0247478046	3
32506	0.0139370278	0
32549	0.1048521768	0
32550	0.1051844013	0
32553	0.1146908096	0
32555	0.1058303652	0
32559	0.1002900937	1
32991	0.0231882366	4
33036	0.0259693935	0
34641	0.1909944948	44
34654	0.0638176069	16
34660	0.0311935599	0
40011	0.1099416426	19
42364	0.070665115	14
42430	0.0826547949	0
42436	0.1178840645	0
42451	0.0136394316	4
42455	0.0115637608	4
42537	0.084535483	0
42623	0.071356201	17
42625	0.1180941052	16
42626	0.0755745673	15
42777	0.0798054901	4
42995	0.0739951335	16
43094	0.0530978098	3
43102	0.0650465983	4
43167	0.2222362036	15
43168	0.1277878471	0
43169	0.1178907228	1
43170	0.1984380905	43
43225	0.3219816445	7
43226	0.0691234558	25
43228	0.0696013526	26
43229	0.069154356	25
43232	0.0696013526	26
43234	0.0145527034	1
43436	0.0404745897	0
43492	0.0755745673	15
43603	0.0608216493	1
43648	0.0153569333	1
44042	0.0136092158	0
44085	0.0594932745	2
44237	0.3235918088	87
44238	0.2941133167	115
44248	0.065185921	1
44249	0.1396917525	46
44260	0.1487449479	37
44265	0.0108741907	1
44271	0.0866851622	36
44422	0.0918463804	17
44424	0.1211404555	28
44425	0.2134523416	185
44427	0.1905568545	0
44446	0.0569405102	1
44461	0.2748136834	15
44462	0.0232839355	0
44463	0.2748136834	15
44464	0.2315307928	153
45184	0.0211722116	0
46129	0.0136394316	4
46218	0.1178840645	0
46373	0.0551162137	1
46390	0.0130637436	4
46395	0.0334292883	1
46405	0.0037038976	0
46434	0.0614884447	1
46483	0.1841719907	42
46872	0.1146138946	1
46873	0.0356463401	2
46903	0.0118260317	0
46914	0.0634393207	0
46933	0.0760364292	4
46942	0.0334117481	2
46961	0.0513302465	1
48870	0.2098851286	19
50789	0.0745443824	11
50794	0.0719214509	11
50896	0.079941167	24
51119	0.1350105742	14
51171	0.047774312	8
51179	0.1593958929	172
51234	0.1481831652	142
51252	0.04725632	9
51276	0.0068290279	0
51301	0.0190396352	0
51302	0.0507615548	0
51540	0.0747543004	7
51641	0.0242603662	0
51649	0.0272447865	0
51674	0.2098851286	19
51704	0.0531900919	13
51707	0.1731312271	14
51716	0.0463287223	9
51726	0.0808692349	0
55086	0.0559807891	3
55114	0.1217133629	76
60255	0.0520374951	9
65007	0.0787681696	11
70011	0.0444778595	1
71103	0.0526850779	0
