GO function	MPP-I AUPRC	PP-I AUPRC
3	0.0028	0.0025
15	0.0003	0.0003
18	0.0003	0.0003
27	0	0
30	0.0003	0.0003
34	0.0003	0.0003
36	0.0003	0.0003
41	0.0061	0.0731
49	0.1631	0.1480
52	0.0003	0.0003
62	0.0003	0.0003
96	0.0249	0.0873
97	0.0282	0.1395
99	0.0003	0.0003
101	0.0379	0.0045
103	0.0116	0.0142
104	0.1376	0.2264
105	0.2700	0.4704
107	0.2062	0.4151
150	0.0019	0.0010
154	0.0150	0.0198
155	0.0376	0.0109
156	0.0241	0.0074
160	0.0574	0.0284
162	0.1815	0.1604
166	0.2589	0.2268
175	0.0003	0.0003
179	0.0006	0.0006
209	0	0
217	0	0
255	0.0914	0.0478
256	0.1073	0.0064
270	0.1270	0.1268
271	0.0689	0.0869
272	0.0034	0.0228
286	0.0003	0.0003
287	0.0597	0.0491
295	0.0003	0.0003
302	0.0030	0.0009
334	0	0
394	0.0003	0.0003
405	0	0
413	0.0330	0.0749
502	0.2185	0.0779
702	0.0003	0.0003
715	0.0003	0.0003
716	0.0003	0.0003
724	0.0003	0.0003
725	0.0003	0.0003
726	0.0003	0.0003
746	0.0013	0.0013
774	0.0003	0.0003
785	0.0003	0.0003
786	0	0
902	0.2292	0.2945
906	0.0003	0.0003
910	0.0181	0.0609
917	0.0256	0.0186
918	0.0003	0.0003
921	0.0003	0.0003
975	0.0003	0.0003
976	0.0003	0.0003
984	0.0003	0.0003
986	0.0003	0.0003
987	0.0003	0.0003
988	0.0038	0.0039
989	0.0006	0.0006
990	0.0035	0.0029
996	0.0035	0.0029
1017	0.0003	0.0003
1067	0.0003	0.0003
1071	0.0309	0.0217
1073	0	0
1101	0	0
1121	0.0003	0.0003
1123	0.0003	0.0003
1159	0.0003	0.0003
1505	0	0
1510	0.0357	0.0346
1514	0.1156	0.7888
1522	0.0355	0.0804
1530	0.0003	0.0003
1539	0.3951	0.3390
1558	0	0
1666	0	0
1671	0	0
1680	0.0003	0.0003
1716	0.0003	0.0003
1871	0.0003	0.0003
1882	0.2448	0.2071
1883	0.2419	0.2035
1887	0.0009	0.1948
1897	0.0003	0.0003
1906	0.0003	0.0003
1907	0.0003	0.0003
1932	0.0006	0.0029
2094	0.0003	0.0003
2097	0.0013	0.0052
2098	0.0006	0.0006
2101	0.0003	0.0003
2143	0.0003	0.0003
2161	0.2326	0.0519
2250	0	0
2252	0.3292	0.2273
2376	0.3046	0.2099
2437	0	0
2438	0	0
2443	0	0
2449	0	0
2460	0	0
2524	0	0
2526	0	0
2682	0	0
2683	0	0
2935	0.0003	0.0003
2943	0.0003	0.0003
3008	0.0003	0.0003
3032	0	0
3333	0.0575	0.0179
3676	0.1934	0.1810
3677	0.1174	0.1038
3678	0.0571	0.1409
3682	0.0003	0.0003
3684	0.0334	0.0416
3688	0.0003	0.0003
3690	0.0099	0.0924
3697	0.0225	0.0044
3700	0.0302	0.0217
3712	0.0003	0.0003
3713	0.0003	0.0003
3723	0.2262	0.2263
3724	0	0
3725	0.0006	0.0006
3727	0.0003	0.0003
3729	0.0009	0.0009
3735	0.2544	0.2237
3743	0.0184	0.0029
3746	0.1116	0.0613
3747	0.0046	0.0121
3755	0.0330	0.0749
3774	0.3372	0.3467
3777	0.0003	0.0003
3779	0	0
3796	0.0023	0.0010
3810	0	0
3824	0.7083	0.6977
3825	0.0003	0.0003
3830	0	0
3834	0.0003	0.0003
3839	0.0003	0.0003
3840	0.0003	0.0003
3841	0	0
3842	0.0096	0.0006
3844	0.0003	0.0003
3847	0.0003	0.0003
3848	0.0003	0.0003
3849	0.0010	0.0009
3852	0.0003	0.0003
3855	0.0006	0.0006
3856	0.0006	0.0006
3857	0.0003	0.0003
3858	0	0
3861	0.0091	0.7812
3862	0.0003	0.0003
3864	0.0003	0.0003
3865	0	0
3866	0.0003	0.0003
3868	0.0003	0.0003
3871	0.0003	0.0003
3872	0.0003	0.0003
3874	0	0
3877	0.0003	0.0003
3878	0.0003	0.0003
3879	0.0003	0.0003
3880	0.0003	0.0003
3882	0	0
3883	0.0003	0.0003
3884	0	0
3885	0	0
3886	0.0050	0.0006
3887	0.0150	0.0090
3896	0.0087	0.0101
3899	0.0548	0.0331
3904	0.0003	0.0003
3905	0.0039	0.0006
3906	0.0242	0.0070
3908	0.0006	0.0006
3909	0.0039	0.0130
3910	0.0042	0.0220
3911	0.0003	0.0003
3913	0.0424	0.0006
3916	0.1290	0.0968
3917	0.0022	0.0021
3918	0.2769	0.2253
3919	0.0003	0.0003
3922	0.0351	0.2283
3924	0.0705	0.1174
3933	0.0319	0.2363
3934	0.0010	0.0009
3935	0.0581	0.3535
3937	0.0003	0.0003
3938	0.0003	0.0003
3939	0	0
3941	0.0003	0.0003
3942	0.0307	0.0006
3949	0.0003	0.0003
3951	0.0013	0.0013
3952	0.0003	0.0003
3953	0	0
3954	0.3925	0.4745
3955	0.0003	0.0003
3956	0	0
3958	0	0
3963	0.0003	0.0003
3964	0.0003	0.0003
3977	0.0003	0.0003
3978	0.0003	0.0003
3979	0.0003	0.0003
3983	0.0003	0.0003
3984	0.0009	0.0195
3987	0	0
3988	0	0
3989	0.0555	0.4864
3991	0.0003	0.0003
3992	0.0003	0.0003
3993	0.0006	0.0033
3994	0.0006	0.0006
3995	0.0006	0.0006
3998	0.0006	0.0006
3999	0.0003	0.0003
4000	0.0003	0.0003
4003	0.0551	0.0061
4004	0	0
4013	0.0003	0.0003
4014	0.0003	0.0003
4015	0	0
4016	0.0033	0.0032
4017	0.0006	0.0006
4018	0.0003	0.0003
4019	0.0003	0.0003
4020	0.0003	0.0003
4022	0	0
4026	0.0003	0.0003
4030	0	0
4034	0.0003	0.0003
4035	0.0006	0.0046
4037	0.0003	0.0003
4040	0.0046	0.0022
4042	0.0128	0.0051
4044	0.0003	0.0003
4045	0.0006	0.0006
4047	0.0009	0.0009
4048	0.0003	0.0003
4049	0.0003	0.0003
4055	0.0003	0.0003
4056	0.0003	0.0003
4057	0.0003	0.0003
4061	0.0003	0.0003
4064	0	0
4066	0.0006	0.0006
4067	0.0006	0.0006
4068	0.0003	0.0003
4069	0	0
4070	0.0003	0.0003
4071	0.0003	0.0003
4072	0.0003	0.0003
4073	0.0003	0.0003
