#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
49	0.1039	1
96	0.0347	0
97	0.0668	0
105	0.2579	7
155	0.0299	0
160	0.0554	0
162	0.1654	0
166	0.188	87
178	0.2073	0
255	0.2249	0
256	0.1061	0
270	0.0397	0
271	0.0541	9
287	0.0517	0
738	0.2868	0
902	0.0846	0
910	0.0409	1
917	0.0578	1
1071	0.0554	0
1514	0.1387	0
1539	0.1495	7
1882	0.1625	66
1883	0.1615	65
2161	0.0728	1
2252	0.1312	14
2376	0.1164	14
3676	0.2566	154
3677	0.1978	52
3700	0.0552	0
3723	0.1592	50
3735	0.3274	98
3774	0.2171	0
3824	0.6626	27818
3913	0.5455	1
3916	0.04	0
3918	0.1382	0
3954	0.2124	19
4175	0.0212	0
4197	0.0507	0
4252	0.03	5
4333	0.0867	2
4375	0.2501	2
4386	0.0643	1
4497	0.02	0
4518	0.0634	11
4519	0.0465	3
4527	0.0468	15
4553	0.0497	0
4672	0.03	0
4673	0.028	0
4733	0.0394	0
4774	0.1976	0
4775	0.1976	0
4803	0.1757	28
4812	0.1764	22
4834	0.311	0
4871	0.0545	3
4872	0.0443	0
5198	0.2528	107
5215	0.1138	20
5315	0.4148	6
5351	0.0954	7
5402	0.0954	7
5488	0.4572	3726
5506	0.0308	2
5524	0.1459	12
5576	0.0426	0
5618	0.0813	8
5622	0.2812	650
5623	0.306	847
5694	0.0809	0
5727	0.0181	0
5737	0.2736	363
5773	0.0804	0
5840	0.2833	107
5886	0.1074	63
5975	0.0966	9
5976	0.0509	9
5996	0.024	0
6006	0.0223	0
6022	0.0377	0
6023	0.1377	0
6024	0.1377	0
6073	0.0879	0
6081	0.1977	0
6082	0.1868	98
6084	0.1554	0
6089	0.3971	0
6090	0.225	1
6091	0.0745	8
6099	0.0933	0
6105	0.2025	0
6139	0.264	306
6144	0.1105	0
6163	0.0683	0
6164	0.0638	0
6259	0.1203	48
6260	0.0625	0
6261	0.0294	0
6265	0.0414	0
6268	0.4077	0
6281	0.0465	0
6304	0.028	0
6310	0.1048	32
6313	0.1744	28
6323	0.0246	0
6351	0.1287	12
6355	0.1291	12
6364	0.0333	0
6396	0.068	0
6399	0.1232	13
6401	0.0234	0
6412	0.2717	127
6414	0.0193	1
6417	0.0235	1
6418	0.2855	18
6448	0.0438	1
6450	0.048	1
6451	0.1387	0
6464	0.0703	40
6508	0.0375	0
6520	0.2103	85
6546	0.1079	0
6547	0.1919	7
6555	0.0768	0
6560	0.2091	0
6561	0.2091	0
6568	0.0735	0
6576	0.0301	0
6586	0.0735	0
6629	0.0676	3
6637	0.1366	0
6643	0.0614	0
