#GO function	AUPRC	# of gene families for which a GO function was predicted at Pr>=50%
49	0.0023	0
96	0.0024	0
97	0.0025	0
105	5.0E-4	0
155	0.0043	0
160	0.0113	0
162	0.001	0
166	0.095	0
178	1.0E-4	0
255	2.0E-4	0
256	2.0E-4	0
270	0.0047	0
271	0.0102	0
287	0.0091	0
738	1.0E-4	0
902	0.0023	0
910	0.0036	0
917	0.0024	0
1071	0.0266	0
1514	1.0E-4	0
1539	0.0049	0
1882	0.0691	0
1883	0.0684	0
2161	6.0E-4	0
2252	0.0021	0
2376	0.0023	0
3676	0.1587	0
3677	0.1203	0
3700	0.0269	0
3723	0.0211	0
3735	0.0115	0
3774	0.0026	0
3824	0.522	14325
3913	2.0E-4	0
3916	0.0013	0
3918	3.0E-4	0
3954	0.0027	0
4175	0.0115	0
4197	0.001	0
4252	0.0044	0
4333	2.0E-4	0
4375	2.0E-4	0
4386	0.0089	0
4497	0.0052	0
4518	0.0336	0
4519	0.0209	0
4527	0.0086	0
4553	0.0122	0
4672	0.0077	0
4673	0.0044	0
4733	0.0023	0
4774	2.0E-4	0
4775	2.0E-4	0
4803	0.006	0
4812	0.0032	0
4834	2.0E-4	0
4871	0.0154	0
4872	0.0089	0
5198	0.0142	0
5215	0.0645	0
5315	3.0E-4	0
5351	0.0012	0
5402	0.0012	0
5488	0.3578	0
5506	0.0122	0
5524	0.0572	0
5576	0.0076	0
5618	0.0037	0
5622	0.0897	0
5623	0.1772	0
5694	0.0049	0
5727	0.0012	0
5737	0.0562	0
5773	2.0E-4	0
5840	0.0142	0
5886	0.0547	0
5975	0.0451	0
5976	0.0138	0
5996	0.0064	0
6006	0.0032	0
6022	0.0053	0
6023	0.0011	0
6024	0.0011	0
6073	0.0025	0
6081	0.0013	0
6082	0.0316	0
6084	4.0E-4	0
6089	1.0E-4	0
6090	8.0E-4	0
6091	0.0137	0
6099	0.0015	0
6105	2.0E-4	0
6139	0.1701	0
6144	3.0E-4	0
6163	0.0163	0
6164	0.0057	0
6259	0.0434	0
6260	0.0092	0
6261	0.0043	0
6265	0.0011	0
6268	2.0E-4	0
6281	0.0099	0
6304	0.0051	0
6310	0.014	0
6313	0.0071	0
6323	0.0011	0
6351	0.0725	0
6355	0.0701	0
6364	0.0055	0
6396	0.0112	0
6399	0.0087	0
6401	0.0012	0
6412	0.0197	0
6414	0.0039	0
6417	0.0013	0
6418	0.0019	0
6448	9.0E-4	0
6450	0.001	0
6451	1.0E-4	0
6464	0.0154	0
6508	0.0238	0
6520	0.0211	0
6546	5.0E-4	0
6547	8.0E-4	0
6555	0.0022	0
6560	4.0E-4	0
6561	4.0E-4	0
6568	0.0024	0
6576	0.0018	0
6586	0.0024	0
6629	0.0196	0
6637	6.0E-4	0
6643	0.0029	0
6644	0.0081	0
6664	0.0029	0
6720	0.0015	0
6721	0.0011	0
6725	0.1934	0
6730	7.0E-4	0
6732	0.0156	0
6753	0.0273	0
6754	0.0032	0
6766	0.0079	0
6767	0.0079	0
6768	9.0E-4	0
6772	0.0025	0
6777	6.0E-4	0
6778	0.0035	0
6779	0.0036	0
6782	3.0E-4	0
6783	5.0E-4	0
6790	0.0066	0
6793	0.0701	0
6796	0.0676	0
6807	0.2172	0
6810	0.1028	0
6811	0.0263	0
6812	0.0164	0
6814	0.0021	0
6817	4.0E-4	0
6818	0.0048	0
6820	0.01	0
6928	0.005	0
6935	0.0035	0
6950	0.03	0
6952	0.0067	0
6974	0.0109	0
6996	0.0049	0
7049	0.0063	0
7059	8.0E-4	0
7154	0.0256	0
7165	0.0216	0
8094	0.0016	0
8104	0.0189	0
8135	0.0035	0
8137	0.0016	0
8152	0.4991	376
8168	0.0332	0
8194	9.0E-4	0
8198	6.0E-4	0
8233	0.0268	0
8236	0.0078	0
8270	0.0181	0
8299	0.0015	0
8324	0.0161	0
8360	0.0026	0
8375	5.0E-4	0
8410	4.0E-4	0
8556	4.0E-4	0
8610	0.0155	0
8643	0.0042	0
8652	0.0125	0
8653	0.0038	0
8654	0.0057	0
8757	0.0058	0
8851	1.0E-4	0
8901	2.0E-4	0
8940	4.0E-4	0
8982	0.0012	0
9039	2.0E-4	0
9055	0.0185	0
9056	0.0368	0
9058	0.1775	0
9059	0.1208	0
9060	0.0033	0
9064	0.0032	0
9066	0.004	0
9067	0.0038	0
9071	5.0E-4	0
9072	0.0024	0
9073	0.0021	0
9084	0.001	0
9086	0.0022	0
9102	9.0E-4	0
9103	0.0036	0
9108	0.0084	0
9110	0.0075	0
9112	8.0E-4	0
9116	0.0224	0
9117	0.0273	0
9119	0.0208	0
9123	0.0154	0
9124	0.0062	0
9126	0.0127	0
9127	0.0051	0
9141	0.0129	0
9142	0.0039	0
9144	0.0125	0
9145	0.0033	0
9150	0.0176	0
9152	0.0057	0
9156	0.0058	0
9161	0.0142	0
9165	0.0109	0
9167	0.0127	0
9168	0.0051	0
9187	0.0047	0
9190	0.0039	0
9199	0.013	0
9201	0.0035	0
9205	0.0125	0
9206	0.0033	0
9228	0.0016	0
9235	0.0024	0
9236	0.0024	0
9240	5.0E-4	0
9245	0.001	0
9247	0.0017	0
9250	5.0E-4	0
9252	9.0E-4	0
9259	0.0197	0
9260	0.0067	0
9273	0.001	0
9274	8.0E-4	0
9276	8.0E-4	0
9288	0.0045	0
9295	0.0011	0
9297	9.0E-4	0
9306	0.0104	0
9308	0.0047	0
9309	5.0E-4	0
9311	0.0021	0
9312	0.002	0
9325	3.0E-4	0
9399	8.0E-4	0
9401	0.0027	0
9405	0.0071	0
9425	0.0021	0
9451	0.0064	0
9521	0.0034	0
9522	0.0016	0
9523	0.0014	0
9579	0.005	0
9605	0.0064	0
9607	0.0039	0
9615	0.0023	0
9653	0.0051	0
9767	3.0E-4	0
9847	0.0015	0
9889	0.075	0
9987	0.3815	0
10181	0.0067	0
10383	6.0E-4	0
10410	6.0E-4	0
10467	0.1045	0
10468	0.072	0
10556	0.075	0
10608	0.0014	0
15031	0.018	0
15075	0.0243	0
15077	0.0096	0
15078	0.0069	0
15079	6.0E-4	0
15098	2.0E-4	0
15116	3.0E-4	0
15144	0.0028	0
15197	2.0E-4	0
15235	0.002	0
15267	0.0035	0
15288	0.0018	0
15291	0.0061	0
15293	0.0027	0
15294	0.0028	0
15295	0.0012	0
15399	0.0091	0
15405	0.0091	0
15419	5.0E-4	0
15420	0.0011	0
15604	1.0E-4	0
15662	5.0E-4	0
15672	0.0092	0
15689	2.0E-4	0
15698	0.0031	0
15716	3.0E-4	0
15734	1.0E-4	0
15774	5.0E-4	0
15935	3.0E-4	0
15945	3.0E-4	0
15946	3.0E-4	0
15979	0.0064	0
15980	0.0081	0
15985	0.0032	0
15986	0.0032	0
15988	0.0017	0
15991	0.0017	0
15992	0.0048	0
15994	0.0015	0
15995	0.0014	0
16020	0.2331	0
16021	0.14	0
16032	0.0014	0
16043	0.0211	0
16050	6.0E-4	0
16051	0.0136	0
16052	0.0072	0
16053	0.0178	0
16070	0.089	0
16072	0.0055	0
16114	0.0011	0
16151	0.0015	0
16168	5.0E-4	0
16301	0.0268	0
16310	0.0288	0
16405	2.0E-4	0
16462	0.0388	0
16469	0.0031	0
16491	0.0823	0
16641	0.0032	0
16642	2.0E-4	0
16651	0.0067	0
16655	0.0046	0
16661	0.0012	0
16695	3.0E-4	0
16699	2.0E-4	0
16701	0.0013	0
16702	0.0013	0
16725	5.0E-4	0
16730	8.0E-4	0
16740	0.1634	0
16741	0.0345	0
16757	0.0132	0
16772	0.0522	0
16773	0.0152	0
16775	0.0044	0
16782	0.0034	0
16787	0.0047	0
16788	0.058	0
16798	0.0168	0
16814	0.001	0
16817	0.0396	0
16818	0.041	0
16820	0.0076	0
16829	0.0324	0
16835	0.0084	0
16836	0.0044	0
16840	0.0014	0
16841	3.0E-4	0
16849	0.0041	0
16853	0.0205	0
16854	0.0023	0
16857	0.0012	0
16874	0.0149	0
16875	0.0033	0
16876	0.0033	0
16887	0.0157	0
16903	0.0024	0
17004	0.0022	0
17076	0.065	0
17111	0.037	0
17171	0.0078	0
18130	0.1038	0
18298	0.0015	0
18492	2.0E-4	0
18662	2.0E-4	0
18822	2.0E-4	0
19012	0.0041	0
19015	0.0013	0
19038	0.0013	0
19058	0.0011	0
19068	8.0E-4	0
19069	6.0E-4	0
19219	0.0712	0
19222	0.0802	0
19288	5.0E-4	0
19318	0.0062	0
19438	0.1032	0
19464	2.0E-4	0
19509	2.0E-4	0
19538	0.0617	0
19545	2.0E-4	0
19627	3.0E-4	0
19634	4.0E-4	0
19637	0.038	0
19682	5.0E-4	0
19684	0.0012	0
19693	0.0197	0
19700	1.0E-4	0
19720	6.0E-4	0
19752	0.0317	0
19829	0.0024	0
19843	0.007	0
20037	0.0131	0
22402	0.0043	0
22603	0.0026	0
22604	0.0026	0
22607	0.0141	0
22613	0.0043	0
22803	0.0035	0
22804	0.0167	0
22829	0.0018	0
22857	0.0342	0
22890	0.0154	0
22891	0.0292	0
22892	0.0343	0
22900	0.0084	0
22904	0.0046	0
23014	0.0043	0
23052	0.0216	0
30001	0.0083	0
30030	0.0048	0
30031	0.0033	0
30076	0.0027	0
30077	7.0E-4	0
30089	0.0024	0
30203	0.0047	0
30246	0.008	0
30260	4.0E-4	0
30261	4.0E-4	0
30312	0.0203	0
30313	0.019	0
30493	2.0E-4	0
30494	2.0E-4	0
30529	0.0143	0
30554	0.0616	0
30694	4.0E-4	0
31224	0.1411	0
31323	0.0761	0
31326	0.075	0
31410	0.001	0
31411	6.0E-4	0
31412	5.0E-4	0
31975	0.0189	0
31982	0.0014	0
32196	0.007	0
32259	0.0332	0
32268	0.0013	0
32324	6.0E-4	0
32392	6.0E-4	0
32502	0.0057	0
32506	0.0024	0
32508	6.0E-4	0
32549	0.0684	0
32550	0.0679	0
32553	0.0737	0
32555	0.0661	0
32559	0.0599	0
32774	0.0739	0
32787	0.007	0
32940	0.0104	0
